Nov 2014,14,2649
Dec 2014,11,2799
Jan 2015,8,2808
Feb 2015,10,2392
Mar 2015,15,2534
Apr 2015,18,2227
May 2015,5,2312
Jun 2015,5,2182
Jul 2015,5,2135
Aug 2015,7,2300
Sep 2015,8,2225
Oct 2015,13,2507
Nov 2015,9,2731
Dec 2015,10,2756
Jan 2016,8,2720
Feb 2016,5,2522
Mar 2016,12,2700
Apr 2016,9,2285
May 2016,4,2257
Jun 2016,6,2167
Jul 2016,8,2227
Aug 2016,8,2175
Sep 2016,14,2276
Oct 2016,6,2459
Nov 2016,9,2542
Dec 2016,11,2815
Jan 2017,6,2865
Feb 2017,4,2462
Mar 2017,10,2513
Apr 2017,6,2205
May 2017,4,2131
Jun 2017,10,2069
Jul 2017,9,2028
Aug 2017,6,2065
Sep 2017,8,2239
Oct 2017,2,2497
Nov 2017,4,2384
Dec 2017,6,2898
