S. No,State/UT/District,"Homicide/Murder(3,4,15,16)",Causing death by negligence(5 to 12),"Hurt(20,26)",Assault on woman(35),Kidnapping and abduction(45),Human trafficking (56to 59),Rape(60 to 62),"Offence against public tranquility(68,90)",Offences against property(107),Offences relating to documents and property marks(121),Miscellaneous(142),"Others(13,17,18,34,143)",Total(144),Population,Sex Ratio,Literacy,Density,Latitude,Longitude,Crime Rate
1,Ahmednagar,254,620,1826,543,369,0,92,905,3104,220,30535,221,38689,4543159,939,0.7905,266,19.0948287,74.7479789,0.851588069
2,Akola,114,116,1345,245,76,0,28,111,946,86,4244,213,7524,1813906,946,0.8805,320,20.7002159,77.0081678,0.4147954745
3,Amravati,201,354,2133,461,190,0,97,144,2198,250,3921,164,10113,2888445,951,0.8738,237,20.9319821,77.7523039,0.3501191818
4,Aurangbad,139,386,1869,335,242,0,80,428,3821,265,4292,411,12268,3701282,923,0.7902,366,19.8761653,75.3433139,0.3314527237
5,Beed,206,308,1233,248,91,0,50,508,1002,104,1858,111,5719,2585049,916,0.7699,242,18.990088,75.7531324,0.2212337174
6,Bhandara,41,141,486,88,71,0,16,43,676,60,1051,54,2727,1200334,982,0.8376,294,21.177658,79.6570127,0.2271867664
7,Buldhana,122,293,2099,313,110,0,36,320,1269,102,3024,104,7792,2586258,934,0.834,268,20.5292147,76.1841701,0.3012847133
8,Chandrapur,105,234,1147,194,152,1,46,84,980,108,2235,355,5641,2204307,961,0.8001,193,19.9615398,79.2961468,0.2559080927
9,Dhule,84,352,433,80,98,1,14,205,781,77,1237,175,3537,2050862,946,0.728,285,20.9042201,74.7748979,0.1724640663
10,Gadchiroli,65,135,303,55,32,0,17,21,302,41,427,27,1425,1072942,982,0.7436,74,20.184871,79.9947956,0.1328123981
11,Gondia,50,131,311,57,40,0,18,23,400,30,996,134,2190,1322507,999,0.8495,253,21.4549477,80.1960712,0.1655945866
12,Hingoli,75,119,649,73,27,0,15,140,436,35,1314,30,2913,1177345,942,0.7817,244,19.7173703,77.1493722,0.2474211043
13,Jalgaon,192,439,901,259,187,0,34,440,2045,248,4353,256,9354,4229917,925,0.782,360,21.0076578,75.5626039,0.2211390909
14,Jalna,133,209,1436,208,100,0,36,411,1618,170,1164,770,6255,1959046,937,0.7152,254,19.8346659,75.8816345,0.3192880616
15,Kolhapur,146,313,1020,263,150,15,54,388,1357,222,5190,202,9320,3876001,957,0.8151,504,16.7049873,74.2432527,0.2404540143
16,Latur,104,244,1077,138,111,3,26,303,964,94,2000,82,5146,2454196,928,0.7726,343,18.4087934,76.5603828,0.2096817043
17,Mumbai,521,349,4171,1553,1180,58,331,392,17530,3425,19788,9146,58444,12442373,846,0.8956,20316,19.0759837,72.8776559,0.4697174727
18,Nagpur,299,581,2252,386,442,13,120,199,4980,568,9647,312,19799,4653570,951,0.8839,470,19.1538231,72.8751786,0.4254583041
19,Nanded,143,252,1778,232,127,1,40,307,1464,114,2970,86,7514,3361292,943,0.7545,319,21.1458004,79.0881546,0.223544994
20,Nandurbar,62,133,255,44,57,0,17,116,429,38,2930,3053,7134,1648295,978,0.6438,277,19.1382514,77.3209555,0.4328108743
21,Nasik,240,917,1720,384,473,1,65,637,2528,529,18068,347,25909,6107187,934,0.8231,393,21.7468548,74.123996,0.4242378693
22,Navi Mumbai,79,232,466,158,217,4,62,95,1859,500,1827,85,5584,1120547,837,0.8962,6204,19.9974533,73.7898023,0.4983280487
23,Osmanabad,92,253,847,123,87,0,21,247,685,80,1126,61,3622,1657576,924,0.7844,219,18.185332,76.0419642,0.218511851
24,Parbhani,165,121,1227,139,65,0,33,119,924,94,1468,84,4439,1836086,947,0.7334,295,19.2608384,76.774776,0.2417642747
25,Pune,649,1102,3540,936,1113,28,243,1227,7935,999,37271,771,55814,9429408,915,0.8615,603,18.5204303,73.8567437,0.5919141477
26,Raigad,47,191,334,77,73,0,20,165,533,141,474,105,2160,2634200,959,0.8314,368,18.2376278,73.4445392,0.08199832966
27,Ratnagiri,39,106,250,53,43,0,11,109,361,113,388,18,1491,1615069,1122,0.8218,197,16.990215,73.3120233,0.09231803719
28,Sangli,207,269,1344,250,228,2,39,340,1678,197,1756,293,6603,2822143,966,0.8148,329,16.8523973,74.5814773,0.2339711347
29,Satara,145,359,1017,275,192,2,49,481,1557,183,2986,162,7408,3003741,988,0.8287,287,17.6804639,74.018261,0.246625791
30,Sindhudurg,18,50,241,53,18,0,6,43,178,48,330,14,999,849651,1036,0.8556,163,16.3492193,73.5594128,0.1175776878
31,Solapur,246,461,2437,449,276,8,96,786,3046,289,2906,3744,14744,4317756,938,0.7702,290,17.6599188,75.9063906,0.3414736729
32,Thane,336,814,3187,746,1159,30,243,687,6209,1211,8009,997,23628,11060148,886,0.8453,1157,19.2183307,72.9780897,0.213631861
33,Wardha,86,170,1394,197,113,0,25,44,741,88,1980,24,4862,1300774,946,0.8699,206,20.745319,78.6021946,0.3737774587
34,Washim,114,110,855,163,66,0,24,142,449,39,3699,29,5690,1197160,930,0.8325,244,20.1119123,77.1312586,0.4752915233
35,Yavatmal,140,310,1431,187,128,1,44,85,923,56,4117,138,7560,2772348,952,0.8282,204,20.3899385,78.1306846,0.2726930385
