S. No,State/UT/District,"Homicide/Murder(3,4,15,16)",Causing death by negligence(5 to 12),"Hurt(20,26)",Assault on woman(35),Kidnapping and abduction(45),Human trafficking (56to 59),Rape(60 to 62),"Offence against public tranquility(68,90)",Offences against property(107),Offences relating to documents and property marks(121),Miscellaneous(142),"Others(13,17,18,34,143)",Total(144),Population,Sex Ratio,Literacy,Density,Latitude,Longitude,Crime Rate
1,Ahmednagar,215,715,886,410,303,0,85,588,2849,177,2453,235,8916,4543159,939,0.7905,266,19.0948287,74.7479789,0.1962511107
2,Akola,101,143,1161,144,96,0,31,108,854,72,2106,210,5026,1813906,946,0.8805,320,20.7002159,77.0081678,0.2770816128
3,Amravati,168,273,1553,345,215,2,79,174,2278,268,3765,245,9365,2888445,951,0.8738,237,20.9319821,77.7523039,0.324222895
4,Aurangbad,220,515,1613,474,264,0,69,374,3319,440,2667,326,10281,3701282,923,0.7902,366,19.8761653,75.3433139,0.2777686218
5,Beed,164,292,925,196,134,1,32,340,1077,90,1739,172,5162,2585049,916,0.7699,242,18.990088,75.7531324,0.1996867371
6,Bhandara,39,168,338,86,108,1,15,35,579,54,808,43,2274,1200334,982,0.8376,294,21.177658,79.6570127,0.1894472705
7,Buldhana,101,248,1624,277,97,0,29,265,950,122,2255,126,6094,2586258,934,0.834,268,20.5292147,76.1841701,0.2356300106
8,Chandrapur,74,295,716,147,210,0,32,80,922,106,4461,68,7111,2204307,961,0.8001,193,19.9615398,79.2961468,0.3225957183
9,Dhule,96,296,395,93,58,0,19,184,816,86,1186,70,3299,2050862,946,0.728,285,20.9042201,74.7748979,0.1608591899
10,Gadchiroli,106,148,180,37,41,1,10,16,201,33,477,26,1276,1072942,982,0.7436,74,20.184871,79.9947956,0.1189253473
11,Gondia,59,131,380,94,76,0,27,56,582,69,902,34,2410,1322507,999,0.8495,253,21.4549477,80.1960712,0.1822296593
12,Hingoli,81,119,398,70,45,1,19,132,367,18,1068,41,2359,1177345,942,0.7817,244,19.7173703,77.1493722,0.2003660779
13,Jalgaon,121,400,604,198,153,1,41,282,1466,174,2308,331,6079,4229917,925,0.782,360,21.0076578,75.5626039,0.1437144039
14,Jalna,121,199,840,201,90,0,30,242,962,104,717,201,3707,1959046,937,0.7152,254,19.8346659,75.8816345,0.1892247553
15,Kolhapur,153,368,687,152,197,1,26,278,1529,199,947,119,4656,3876001,957,0.8151,504,16.7049873,74.2432527,0.120123808
16,Latur,93,241,960,139,134,0,15,316,842,120,1083,58,4001,2454196,928,0.7726,343,18.4087934,76.5603828,0.1630269139
17,Mumbai,345,604,5222,1806,2198,51,345,515,39139,3829,6553,3836,64443,12442373,846,0.8956,20316,19.0759837,72.8776559,0.5179317482
18,Nagpur,261,630,2244,427,660,16,142,274,12238,552,4544,279,22267,4653570,951,0.8839,470,19.1538231,72.8751786,0.478492856
19,Nanded,139,265,1160,145,154,0,34,207,1184,88,2201,97,5674,3361292,943,0.7545,319,21.1458004,79.0881546,0.1688041384
20,Nandurbar,69,129,174,49,41,0,14,131,411,40,496,27,1581,1648295,978,0.6438,277,19.1382514,77.3209555,0.09591729636
21,Nasik,229,848,1462,316,431,2,42,598,3217,449,3488,402,11484,6107187,934,0.8231,393,21.7468548,74.123996,0.1880407461
22,Navi Mumbai,72,282,505,134,261,6,63,100,1892,397,841,121,4674,1120547,837,0.8962,6204,19.9974533,73.7898023,0.4171177113
23,Osmanabad,77,246,670,121,71,0,16,218,660,51,659,61,2850,1657576,924,0.7844,219,18.185332,76.0419642,0.1719378176
24,Parbhani,98,103,798,110,107,0,25,116,674,87,1010,83,3211,1836086,947,0.7334,295,19.2608384,76.774776,0.1748828759
25,Pune,644,1416,2906,1116,1499,25,283,1103,14306,1478,4423,610,29809,9429408,915,0.8615,603,18.5204303,73.8567437,0.3161280114
26,Raigad,44,247,406,88,97,0,27,199,746,163,511,20,2548,2634200,959,0.8314,368,18.2376278,73.4445392,0.09672765925
27,Ratnagiri,20,140,259,85,75,0,19,94,592,133,536,43,1996,1615069,1122,0.8218,197,16.990215,73.3120233,0.1235860511
28,Sangli,135,345,704,159,183,2,24,274,1477,161,681,254,4399,2822143,966,0.8148,329,16.8523973,74.5814773,0.1558744543
29,Satara,124,440,807,245,243,5,55,394,1771,179,2093,92,6448,3003741,988,0.8287,287,17.6804639,74.018261,0.2146656453
30,Sindhudurg,14,61,125,57,34,0,4,41,294,30,494,144,1298,849651,1036,0.8556,163,16.3492193,73.5594128,0.1527686073
31,Solapur,245,486,1439,367,255,2,52,583,2733,308,2263,306,9039,4317756,938,0.7702,290,17.6599188,75.9063906,0.2093448541
32,Thane,441,998,2756,624,1453,43,263,722,8572,1589,3165,1036,21662,11060148,886,0.8453,1157,19.2183307,72.9780897,0.1958563303
33,Wardha,73,174,982,125,121,0,16,62,921,129,1785,100,4488,1300774,946,0.8699,206,20.745319,78.6021946,0.3450253464
34,Washim,75,116,576,123,50,0,23,109,477,45,680,111,2385,1197160,930,0.8325,244,20.1119123,77.1312586,0.1992214909
35,Yavatmal,122,346,1523,232,170,0,72,155,1469,122,2287,109,6607,2772348,952,0.8282,204,20.3899385,78.1306846,0.2383178447
